# T3 FLAVOR TAGS — 183 products
# Format: SKU|name|classification|country|region|grape|style

WRS0149DD|Mount Riley  The Bonnie Pinot Noir Rose|Rose Wine|New Zealand|Marlborough|Pinot Noir|Pinot Noir
WRS0204FR|Les Pins D'Aubane Rose De France (Fruit Wine)|Rose Wine|France|Others region|Grenache, Cinsault|Rosé
WRS0207FR|Love By Leoube  Cotes De Provence|Rose Wine|France|Provence|Grenache, Cinsault|Rosé
WRS0230AB|Monfort  Pinot Grigio Ramato Vigneti Dolomiti IGT|Rose Wine|Italy|Trentino-Alto Adige|Pinot Grigio|Pinot Grigio
WRW0118AD|Ogier  Chateauneuf du Pape Clos de l'Oratoire des Papes|Red Wine|France|Languedoc-Roussillon|Grenache, Syrah, Mourvèdre|Medium-bodied Red
WRW0296AD|Ogier  Cotes du Rhone Gentilhomme Red|Red Wine|France|Rhône|Grenache, Syrah, Mourvèdre|Medium-bodied Red
WRW0308AD|Wente Vineyards  Hayes Ranch Cabernet Sauvignon|Red Wine|USA|California|Cabernet Sauvignon|Cabernet Sauvignon
WRW0510AD|Pio Cesare  Dolcetto D'Alba|Red Wine|Italy|Piedmont|Dolcetto|Medium-bodied Red
WRW1005FS|Alter Ego de Palmer, Margaux 2019|Red Wine|France|Bordeaux|Cabernet Sauvignon, Merlot|Medium-bodied Red
WRW1112AB|Pala  Essentija Isola Dei Nuraghi IGT|Red Wine|Italy|Sardinia|Cannonau|Bovale 100%.
WRW1114AB|Pala  Silenzi Rosso Isola Dei Nuraghi IGT|Red Wine|Italy|Tuscany|Sangiovese|Carignano, Monica, Sangiovese
WRW1155AB|Gerard Bertrand  Naturalys Merlot|Red Wine|France|Languedoc|Merlot|Merlot
WRW1362AB|Agricola Querciabella  Mongrana Maremma Toscana IGT|Red Wine|Italy|Tuscany|Sangiovese, Merlot, Cabernet Sauvignon|Sangiovese (50%) Merlot (25%) Cabernet Sauvignon (25%).
WRW1596BS|Castello Di Bolgheri  Varvara DOC|Red Wine|Italy|Tuscany|Cabernet Sauvignon, Cabernet Franc, Merlot, Syrah, Petit Verdot|Medium-bodied Red
WRW1620BS|Castello Di Bolgheri  Bolgheri Superiore DOC|Red Wine|Italy|Tuscany|Sangiovese|Medium-bodied Red
WRW1758AE|Casanova di Neri  Brunello di Montalcino DOCG|Red Wine|Italy|Tuscany|Sangiovese|Sangiovese
WRW1809AE|Massolino  Dolcetto D’Alba DOC|Red Wine|Italy|Piedmont|Dolcetto|Medium-bodied Red
WRW1946AH|Dourthe  Grands Terroirs  Bordeaux Superieur|Red Wine|France|Bordeaux|Cabernet Sauvignon, Merlot|Merlot, 15% Cabernet Sauvignon, 10% Cabernet Franc
WRW2444BN|Chateau Haut Bailly  Grand Cru Classe 2016|Red Wine|France||Cabernet Sauvignon, Merlot|Medium-bodied Red
WRW3009BN|Felton Road  Pinot Noir Calvert|Red Wine|New Zealand|Central Otago|Pinot Noir|Pinot Noir
WRW3265DD|Chateau Vircoulon  Bordeaux Superieur|Red Wine|France|Bordeaux|Cabernet Sauvignon, Merlot|Medium-bodied Red
WRW3349DD|Chateau Du Corneau  Margaux|Red Wine|France|Bordeaux|Cabernet Sauvignon, Merlot|Cabernet Sauvignon, Merlot, Petit Verdit, Cabernet Franc
WRW3610AD|Pio Cesare  Barbaresco il Bricco DOCG|Red Wine|Italy|Piedmont|Nebbiolo|Medium-bodied Red
WRW3647DJ|Domaine Lafarge-Vial  Fleurie|Red Wine|France|Burgundy|Pinot Noir|Gamay
WRW4697AD|Beringer  Napa Valley Cabernet sauvignon|Red Wine|USA|Napa|Cabernet Sauvignon|Cabernet Sauvignon
WRW4871BN|Amiral de Beychevelle  Saint Julien|Red Wine|France||Cabernet Sauvignon, Merlot|Medium-bodied Red
WRW5007FT|Fugue De Nenin  "Le 2nd Vin De Chateau Nenin"|Red Wine|France|Bordeaux|Cabernet Sauvignon, Merlot|Medium-bodied Red
WRW5105AE|Conti Zecca  Negroamaro Leverano Liranu Riserva|Red Wine|Italy|Puglia|Negroamaro|Medium-bodied Red
WRW5108AA|Fattoria Le Pupille  Saffredi Maremma Toscana|Red Wine|Italy|Tuscany|Sangiovese|Medium-bodied Red
WRW5328AA|Cantine Leonardo Da Vinci  Da Vinci I Capolavori Rosso Di Montalcino DOC|Red Wine|Italy|Tuscany|Sangiovese|Medium-bodied Red
WRW5665DJ|Domaine Jean Fery & Fils  Pernand-Vergelesses 1er Cru "les Vergelesses"|Red Wine|France|Burgundy|Pinot Noir|Medium-bodied Red
WRW5677FR|Les Solstices  Cuvee Tradition Rouge De France (Fruit Wine)|Red Wine|France|Provence|Grenache, Syrah|Medium-bodied Red
WRW5683FR|Chateau De Parenchere  Bordeaux Superieur|Red Wine|France|Bordeaux|Cabernet Sauvignon, Merlot|Merlot (50%), Cabernet Sauvignon (30%), Cabernet Franc (20%)
WRW5779AA|Penfolds  II Dourthe Cabernet Shiraz|Red Wine|Australia|Bordeaux|Syrah|Syrah
WRW5814FU|Chateau La Bridane Saint Julien 2018|Red Wine|France|Bordeaux|Cabernet Sauvignon, Merlot|Medium-bodied Red
WRW5862AD|Langmeil  Steadfast Shiraz Cabernet|Red Wine|Australia|Barossa|Syrah|Syrah
WRW5874DD|Aromo  Winemaker's Selection Cabernet Sauvignon - Syrah|Red Wine|Chile|Central Valley|Cabernet Sauvignon, Syrah|Cabernet Sauvignon
WRW5884DD|Chateau Meillier  Cuvee Prestige Bordeaux Superieur|Red Wine|France|Bordeaux|Cabernet Sauvignon, Merlot|Medium-bodied Red
WRW6018FJ|Bosquet des Boiron Cotes du Rhone|Red Wine|France|Rhône|Grenache, Syrah, Mourvèdre|Medium-bodied Red
WRW6019FJ|Bosquet des Papes Chateauneuf-du-Pape Tradition Rouge|Red Wine|France|Rhône Valley|Grenache, Syrah, Mourvèdre|Medium-bodied Red
WRW6052BN|Chateau Pedesclaux Pauillac|Red Wine|France|Bordeaux|Cabernet Sauvignon, Merlot|Medium-bodied Red
WRW6084BN|Chateau Leoville Las Cases  Saint-Julien|Red Wine|France|Bordeaux|Cabernet Sauvignon, Merlot|Medium-bodied Red
WRW6085BN|Chateau Poujeaux (Moulis-en-Medoc)|Red Wine|France|Bordeaux|Cabernet Sauvignon, Merlot|Medium-bodied Red
WRW6127AC|Brendel  "Cooper's Reed" Napa Valley Cabernet Sauvignon|Red Wine|USA|Napa|Cabernet Sauvignon|Cabernet Sauvignon
WRW6190DH|Olek Bondonio  Barbera D’alba DOC|Red Wine|Italy|Piedmont|Barbera|Barbera
WRW6245FJ|Bindi Surgadi La Boncia Chianti DOCG|Red Wine|Italy|Tuscany|Sangiovese|Medium-bodied Red
WRW6247FJ|Vite Colte Barolo "Paesi Tuoi" DOCG|Red Wine|Italy|Piedmont|Nebbiolo|Medium-bodied Red
WRW6255GN|Fontana Di Papa Vino Rosso|Red Wine|Italy|Lazio|Sangiovese|Sangiovese, Merlot, Montepulciano
WRW6265FJ|Georges Duboeuf  Beaujolais Nouveau 2024|Red Wine|France|Burgundy|Pinot Noir|Gamay
WRW6266FJ|Georges Duboeuf  Beaujolais Villages Nouveau 2024|Red Wine|France|Burgundy|Pinot Noir|Gamay
WRW6289CB|Famille Jaume  Gigondas AOP|Red Wine|France|Rhône Valley|Grenache, Syrah, Mourvèdre|Grenache : 80%, Syrah : 20%
WRW6325FC|Louis Latour  Romanée St Vivant Grand Cru|Red Wine|France|Burgundy|Pinot Noir|Medium-bodied Red
WRW6328FU|Giustini  Vecchio Sogno Negroamaro Salento IGP|Red Wine|Italy|Puglia|Negroamaro|Medium-bodied Red
WRW6384AC|Noble Vines  "Marquis" Lodi  Red Blended|Red Wine|USA|California|Cabernet Sauvignon|Red Blend
WRW6434FT|Confidences De Prieure-Linchine 2019 "Le 2nd Vin De Chateau Prieure-Lichine"|Red Wine|France|Bordeaux|Cabernet Sauvignon, Merlot|Medium-bodied Red
WRW6447AA|Casarena 505 Malbec|Red Wine|Argentina|Mendoza|Malbec|Malbec
WRW6492FT|Duluc De Branaire Ducru Saint-Julien Second wine of Chateau Branaire-Ducru|Red Wine|France|Bordeaux|Cabernet Sauvignon, Merlot|Medium-bodied Red
WRW6495FT|Chevalier De Lascombes Second wine of Chateau Lascombes|Red Wine|France|Bordeaux|Cabernet Sauvignon, Merlot|Medium-bodied Red
WRW6499FT|Chateau Lagrezette Paragon Malbec|Red Wine|France|Others region|Malbec|Malbec
WRW6516GT|Chateau Fombrion  Cuvee La Griveliere|Red Wine|France|Bordeaux|Merlot|Medium-bodied Red
WRW6547FS|Chateau Haut-Brion  Le Clarence de Haut-Brion 2019|Red Wine|France||Cabernet Sauvignon, Merlot|Medium-bodied Red
WRW6618AA|Baron Philippe de Rothschild  Mouton Cadet Bordeaux Rouge Bio "Pierre"|Red Wine|France|Bordeaux|Cabernet Sauvignon, Merlot|Medium-bodied Red
WRW6644DJ|Maxime Cheurlin Noellat Chambolle-Musigny 1er Cru Les Noirots|Red Wine|France|Burgundy|Pinot Noir|Medium-bodied Red
WSP1098BU|Veuve Clicquot  Brut Yellow Label (Magnum) (1.5 L)|White Wine|France|Champagne|Pinot Noir, Pinot Meunier, Chardonnay|Medium-bodied White
WSP1108BU|Moet & Chandon  Brut Imperial (Jeroboam) (3 L)|White Wine|France|Champagne|Chardonnay|Medium-bodied White
WSP1116AD|Dom Perignon  (luminated label)|White Wine|France|Champagne|Pinot Noir, Chardonnay|Medium-bodied White
WSP1445DR|Martini  Asti  DOCG|Sparkling Wine|Italy|Piedmont|Muscat|Moscato & Blends
WSP2431AD|Maison de Grand Esprit  L'Etre Magique Cremant De Bourgogne|Sparkling Wine|France|Burgundy|Chardonnay, Pinot Noir|Crémant
WSP2459AD|Concha Y Toro  Casillero Del Diablo Devil's Brut|White Wine|Chile|Central Valley|Sauvignon Blanc|Medium-bodied White
WSP2579AD|Atto Primo  Spumante Brut|Sparkling Wine|Italy|Veneto|Glera|Glera (Prosecco)
WSP5668AA|V8+  Prosecco Brut Millesimato DOC (1.5 L)|Sparkling Wine|Italy|Veneto|Glera|Prosecco
WSP5670BU|Dom Perignon 2013|Champagne|France|Champagne|Chardonnay, Pinot Noir, Pinot Meunier|Pinot Noir And Chardonnay
WSP5694AD|Contadi Castaldi  Franciacorta Brut Race Ducati|White Wine|Italy|Lombardy|Pinot Grigio|Medium-bodied White
WSP5724FJ|Botter Prosecco DOCG Valdobbiadene|Sparkling Wine|Italy|Veneto|Glera|Prosecco
WSP5726FJ|Heim  Cremant D'Alsace Brut Imperial|Sparkling Wine|France|Alsace|Chardonnay, Pinot Noir|Crémant
WSP5743AA|Barons de Rothschild  Concordia Brut|White Wine|France|Champagne|Chardonnay|Medium-bodied White
WSP5755FU|Tenuta Baron  Spumante Eden Brut|Sparkling Wine|Italy|Veneto|Glera|Brut Sparkling Wine
WSP5765EG|Dom Ruinart Blanc de Blanc 2010|Champagne|France|Champagne|Chardonnay, Pinot Noir, Pinot Meunier|Chardonnay
WSP5770AB|Giuseppe Verdi Malvasia Spumante Brut Emilia IGT|Sparkling Wine|Italy|Emilia-Romagna|Malvasia|Malvasia
WSP5772AB|Guiseppe Verdi Lambrusco Rosa Amabile|Sparkling Wine|Italy|Emilia-Romagna|Lambrusco|Lambrusco
WSP5777AD|Penfolds  Champagne Cuvee Brut|Champagne|France|Champagne|Chardonnay, Pinot Noir, Pinot Meunier|Brut Champagne
WSP5799DJ|Champagne Chavost Ratafia Champenois Sans Sulfite (700 ml)|Champagne|France|Champagne|Chardonnay, Pinot Noir, Pinot Meunier|Brut Champagne
WWW0252AD|Pio Cesare  Gavi white DOCG|White Wine|Italy|Piedmont|Cortese|Medium-bodied White
WWW1177BS|Bottega  Pinot Grigio delle Venezie IGT|White Wine|Italy|Veneto|Pinot Grigio|Pinot Gris
WWW1425AB|Domaines Barons de Rothschild (Lafite)  Legende Bordeaux Blanc|White Wine|France|Bordeaux|Sauvignon Blanc, Sémillon|55 % S?millon 45 % Sauvignon
WWW5165DJ|Albert Bichot  Domaine Long-Depaquit Chablis Grand Cru "Moutonne" Monopole|White Wine|France|Burgundy|Chardonnay|Medium-bodied White
WWW5169FR|Ropiteau  Chardonnay Les Plants Nobles Vin De France|White Wine|France|Provence|Chardonnay|Chardonnay
WWW5265AB|la Chablisienne  Chateau Grenouille Chablis|White Wine|France|Burgundy|Chardonnay|Chardonnay
WWW5301AB|Gerard Bertrand  Naturae Orange|Orange Wine|France|Others region||Chardonnay, Grenache Blanc, Viognier, Muscat
