sku,sku_base,name,classification,wine_color,style,country,region,subregion,appellation,vintage,brand,grape_variety,wine_body,wine_acidity,wine_tannin,flavor_tags,food_matching,overall_confidence,desc_en_short,bottle_size,price,validation_status,enrichment_priority
WRW4289BU,WRW4289,Jacob's Creek  Classic Shiraz Cabernet (750 ml),Red Wine,Deep ruby (รูบี้เข้ม),Syrah,Australia,,,,,Jacob's Creek,Syrah,Medium,Medium,Medium,"[""fruit""]",Beef|Lamb|Hard Cheese|Barbecue,0.787,<p>ลองลิ้มรสไวน์ที่ผสมผสานชิราซและแคบอร์เนต์แบบเป็นกันเอง ที่ให้ความรู้สึกเหมือนนั่งคุยกับเพื่อน</p>,,545,validated,1
WRW4291BU,WRW4291,Jacob's Creek  Classic Cabernet Sauvignon (750 ml),Red Wine,Deep ruby (รูบี้เข้ม),Cabernet Sauvignon,Australia,,,,,Jacob's Creek,Cabernet Sauvignon,Medium,Medium,Medium,,Beef|Cured Meat|Barbecue,0.847,"<p>ให้รสชาติของผลแคสซิส เสริมด้วยกลิ่นไม้ซีดาร์และเครื่องเทศ เป็นรุ่นที่นำเสนอความสดชื่น รสชาติดี ดื่มได้ทันที เป็นตัวเลือกยอดนิยมที่ต้องการหาไวน์ที่ยอดเยี่ยม ในราคาที่สมเหตุผล</p>
<p> </p>
<p>Wine Score : 88 POINTS, Jane Faulkner - winecompanion.com (Aug-18)</p>
<p>Award : DOUBLE GOLD, Tasters Guild International 2018</p>",,545,validated,1
WRW4295BU,WRW4295,Jacob's Creek  Reserve Shiraz (750 ml),Red Wine,Deep purple,Shiraz,Australia,South Australia,,,Current vintage,Jacob's Creek,Syrah,Full,Medium,High,"[""fruit"",""spice"",""herbal"",""earth"",""oak""]",Beef|Lamb|Spicy Food,0.916,"<p>This premium, full bodied wine is an outstanding example os South Australian Shiraz, displaying an intensity of ripe plum with pepper spice, balanced by soft grape and oak tannins, leading to a lingering smooth finish. An ideal accompaniment to most red meats, game and cheeses. A wine that will develop further with cellaring.</p>",750 ml,699,validated,1
WRW4297BU,WRW4297,Jacob's Creek  Double Barrel Shiraz (750 ml),Red Wine,Deep purple with a hint of ruby,Syrah,Australia,Barossa,,,,Jacob's Creek,Syrah,Full,Medium,High,"[""fruit"",""spice"",""earth"",""oak""]",Beef|Lamb|Spicy Food,0.916,"<p>Double Barrel is finished in aged whisky barrels for a richer, deeper, and smoother taste. Double Barrel Shiraz has a full and generous palate with a beguiling mix of sweet red fruits and dark chocolate indicative of its origins as Barossa Shiraz. Subtle toasty vanilla drives from aging in traditional French and American oak wine barrels. </p>
<p>Wine Score : 93 POINTS, Huon Hooke - The Real Review (Feb-18)</p>
<p>Award : SILVER, Sakura Awards Japan, 2018</p>",,945,validated,1
WRW4300BU,WRW4300,George Wyndham  Bin 555 Shiraz (750 ml),Red Wine,Deep purple (ม่วงเข้ม),Syrah,Australia,,,,,George Wyndham,Syrah,Full,High,Medium,,Beef|Lamb|Spicy Food,0.787,<p>ลองสัมผัส Shiraz ที่มีความกลมกล่อมจาก Bin 555 ในขนาด 750 ml</p>,,595,validated,1
WRW4301BU,WRW4301,George Wyndham  Bin 888 Cabernet Merlot (750 ml),Red Wine,Deep ruby (รูบี้เข้ม),Merlot,Australia,,,,,George Wyndham,Merlot,Medium,Medium,Medium,"[""fruit""]",Beef|Lamb|Cured Meat|Barbecue,0.787,<p>ลองลิ้มรสไวน์เบลนด์ที่ผสมผสานผลไม้เข้มและเครื่องเทศอ่อน ๆ แบบเป็นกันเอง</p>,,595,validated,1
WRW4302BU,WRW4302,George Wyndham  Bin 999 Merlot (750 ml),Red Wine,Fine ruby color,Merlot,Australia,Multi-Regional,,,,George Wyndham,Merlot,Medium,Medium,Low,"[""fruit"",""spice"",""earth"",""oak""]",Beef|Pork|Pasta,0.775,"Rooted in Australia's winemaking heritage since 1830, George Wyndham Bin 999 Merlot is a generous, fruit-forward red blended from premium viticultural regions — soft in tannin, rich in plum and dark berry character, and effortlessly easy to enjoy.",,595,validated,1
WRW4303BU,WRW4303,Campo Viejo  Tempranillo (750 ml),Red Wine,Ruby red (รูบี้แดง),Tempranillo,Spain,Rioja,,,,Campo Viejo,Tempranillo,Medium,Medium,Medium,,Beef|Lamb|Cured Meat|Hard Cheese,0.856,<p>ลิ้มลอง Tempranillo ที่สมดุลและสดชื่นจาก Campo Viejo</p>,,685,validated,1
WRW4304BU,WRW4304,Campo Viejo  Reserva (750 ml),Red Wine,Ruby with a hint of garnet,"Tempranillo, Graciano, Mazuelo",Spain,Rioja,,,Current vintage,Campo Viejo,Tempranillo,Medium,Medium,Medium,"[""fruit"",""oak""]",Beef|Lamb|Cured Meat|Hard Cheese,0.916,"<p>An approachable yet complex wine, capturing the very best that Rioja has to give, thanks to the winemaking artistry of the Campo Viejo winemaking team.</p>
<p>Wine Score : 90 Points, Julien Miquel - socialvignerons.com (Jul-17)</p>
<p>Award : GOLD, San Diego International Wine Competition 2017</p>",750 ml,979,validated,1
WRW4305BU,WRW4305,Brancott Estate  Pinot Noir (750 ml),Red Wine,Deep purple ruby,Pinot Noir,New Zealand,Marlborough,,,,Brancott Estate,Pinot Noir,Light,High,Low,,Chicken|Soft Cheese|Fish,0.847,"<p>This range of fruit-forward and approachable wines focusses on varieties we introduced to Marlborough.</p>
<p>Award : BRONZE, New York International Wine Competition 2018</p>",,765,validated,1
WRW4312AC,WRW4312,G7  Gran Reserva Cabernet Sauvignon,Red Wine,A cherry red color.,Cabernet Sauvignon,Chile,,,,,,Cabernet Sauvignon,Full,Medium,Medium,"[""fruit"",""oak""]",Beef|Cured Meat|Barbecue,0.847,"It has a cherry red color with aromas of cassis, black cherry, coffee and spicy notes. In the mouth, it is concentrated and structured, with ripe red fruit, toffee and chocolate. The tannins are firm and well integrated. Its finish is long and persistent.",,799,validated,1
WRW4353CB,WRW4353,La Linda  Malbec,Red Wine,bright violet red,Malbec 100%.,Argentina,Mendoza,,,Current vintage,La Linda,Malbec,Full,Low,Medium,"[""oak"",""floral""]",Beef|Lamb|Hard Cheese|Barbecue,0.892,"La Linda Malbec from Mendoza, Argentina, delivers classic varietal character with bright cherry and blackberry fruit, delicate violet florals, and a silky full-bodied palate shaped by three months of oak ageing — approachable, elegant, and built for the table.",750 ml,900,validated,1
WRW4354CB,WRW4354,Luigi Bosca  Malbec,Red Wine,A deep red color with violet hints.,Malbec 100%.,Argentina,Mendoza,,,Current vintage,Luigi Bosca,Malbec,Full,Low,Medium,"[""fruit"",""spice"",""oak"",""floral""]",Beef|Lamb|Barbecue|Pasta,0.892,"Luigi Bosca Malbec from Mendoza delivers a lush, full-bodied expression of Argentina's signature grape — deep ruby with violet hints, bursting with ripe plum, warming spice, and coffee notes from careful oak ageing, finishing with elegance and impressive length.",750 ml,1300,validated,1
WRW4355CB,WRW4355,Luigi Bosca  Cabernet Sauvignon,Red Wine,Ruby‐red,Cabernet Sauvignon 100%.,Argentina,Mendoza,,,Current vintage,Luigi Bosca,Cabernet Sauvignon,Full,Medium,Medium,"[""spice"",""earth"",""oak""]",Beef|Lamb,0.916,"Expressive aromas that are reminiscent of black fruits, spices, pepper and leather. Strong in the mouth, this is a highly smooth wine with fine and firm tannins. Genuine, markedly structured and full-bodied, with a long and persistent finish which allows for perceiving the subtle smoked notes resulting from its ageing in oak barrels.",750 ml,1300,validated,1
WRW4521AD,WRW4521,Bodegas Protos  Roble Ribera del Duero D.O.,Red Wine,"Bright cherry colour with purple rim, bright and clean.",,Spain,Ribera del Duero,,,,Bodegas Protos,,Full,High,High,"[""fruit"",""spice"",""oak""]",Beef|Lamb|Cured Meat|Hard Cheese,0.847,"Bright cherry colour with purple rim, bright and clean. Very expressive, powerful and complex aroma with fresh fruits, sweet spices, creamy oak and red berry notes. Flavourful taste, fruity and toasty with round tannins and good finish.",,899,validated,1
WRW4533AD,WRW4533,Rawson's Retreat  Merlot,Red Wine,Bright red cherry,Merlot,Australia,,,,,Rawson's Retreat,Merlot,Full,Medium,High,"[""fruit"",""spice"",""herbal"",""oak"",""floral"",""mineral""]",Beef|Lamb|Cured Meat|Pasta,0.847,"Bright red cherry, Hint of spicy aromatics from the subtle use of oak with lifted herbal and floral notes. Fresh and vibrant flavors with dark fruit and spice, plum and creamy vanillin oak.",,495,validated,1
WRW4534AD,WRW4534,Rawson's Retreat  Shiraz,Red Wine,"Deep red, bright with good depth of color,",Syrah,Australia,,,,,Rawson's Retreat,Syrah,Full,Medium,Medium,"[""fruit"",""spice"",""oak"",""mineral""]",Beef|Lamb|Spicy Food,0.847,"Deep red, bright with good depth of color, Cinnamon spice, mocha and dark fruits, Ripe fresh raspberries, blueberries and blackcurrant, balanced with soft tannins, Fresh coffee bean flavors.",,495,validated,1
WRW4542CH,WRW4542,Gallo Family Vineyards  Merlot,Red Wine,Ruby Red,Merlot,USA,,,,,Gallo Family Vineyards,Merlot,Full,Medium,High,"[""fruit"",""spice""]",Beef|Lamb|Cured Meat|Pasta,0.847,"This Merlot begins with a nose of enticing plum and blackberry jam aromas layered with hints of vanilla and crème brûlée. This wine is a great complement to grilled meats, spicy pasta dishes and a variety of cheeses.",,645,validated,1
WRW4559CB,WRW4559,Bread & Butter  Pinot Noir,Red Wine,Light ruby (รูบี้อ่อน),Pinot Noir (100%),USA,California,,,Current vintage,Bread & Butter,Pinot Noir,Medium,High,Low,"[""fruit"",""earth"",""floral"",""spice""]",Beef|Lamb|Soft Cheese,0.832,"Bread & Butter Pinot Noir from California is an approachable, silky red delivering gentle cherry fruit, subtle earthy notes, and soft tannins — an everyday crowd-pleaser that rewards both casual sipping and relaxed dinner tables alike.",750 ml,1400,validated,1
WRW4577DD,WRW4577,Angove  Long Row Cabernet Sauvignon (187 ml),Red Wine,Deep ruby (รูบี้เข้ม),Cabernet Sauvignon,Australia,,,,,Angove,Cabernet Sauvignon,Full,Medium,High,,Beef|Lamb|Cured Meat|Hard Cheese,0.847,"<p><span style=""color: #ff0000;""><strong>*Minimum Qty Allowed in Shopping Cart 24 Bottles.</strong></span></p>

<p>ลองลิ้มรสแคบอร์เนต์ขนาด 187 ml จาก Angove ที่พกพาสะดวก</p>",,145,validated,1
WRW4621AB,WRW4621,"Henschke  Henry's Seven, Barossa Valley",Red Wine,Deep crimson with purple hues,"Shiraz, 20% Grenache, 10% Mataro, 5% Viognier",Australia,Barossa,,,2023,Henschke,,Full,Medium,High,"[""fruit"",""spice"",""earth"",""floral""]",Beef|Lamb|Spicy Food,0.916,"<p>Deep crimson with ruby hues. Attractive aromas of spiced plum, red currant and blue and black berry fruits are met with floral nuances of violets and black pepper spice. The round, supple palate is filled with juicy blue and red fruits, spiced plum, liquorice and notes of crushed tarragon, with beautifully textured svelte tannins and a long, peppery finish.</p>",750 ml,1900,validated,1
WRW4642AB,WRW4642,Little Things  Cabernet Sauvignon,Red Wine,Deep Red,Cabernet Sauvignon,Australia,South Australia,,,Current vintage,Little Things,Cabernet Sauvignon,Full,Medium,Medium,"[""fruit""]",Beef|Lamb,0.916,"<p>A full bodied wine showing flavors of ripe blackcurrants, Black Forest cake, and maraschino cherries. Full flavored in the mouth, the wine lingers with plump ripe cherries and finishes withelegant silky tannins.</p>",750 ml,700,validated,1
WRW4643CH,WRW4643,Yellow Tail  Merlot,Red Wine,Ruby red,Merlot,Australia,,,,,Yellow Tail,Merlot,Full,Medium,High,"[""fruit"",""herbal""]",Beef|Lamb|Cured Meat|Pasta,0.847,"<p>Soft, juicy Merlot with dark plums again with chocolaty tannins and a long, fleshy finish. Serve with charred meats. Yup, this is the ultimate BBQ wine. It’s great with sausages, steak and marinated chicken.</p>",,599,validated,1
WRW4645CH,WRW4645,Yellow Tail  Shiraz,Red Wine,Ruby red,Syrah,Australia,,,,,Yellow Tail,Syrah,Full,Medium,High,"[""fruit"",""spice"",""herbal""]",Beef|Lamb|Spicy Food,0.847,"<p>Deep and dark in the palate, this Shiraz offers classic red berry fruit, Christmas cake spices, dried figs and a long, juicy finish. Serve with herb crusted leg of lamb, medium rare, and a handful of oven baked potato wedges.</p>",,599,validated,1
WRW4677AD,WRW4677,Penfolds  Bin 8 Shiraz Cabernet,Red Wine,Crimson core and vibrant purple highlights at the rim.,Syrah,Australia,,,,,Penfolds,Syrah,Full,Medium,High,"[""oak""]",Beef|Lamb|Spicy Food,0.847,"<p>Bin 8 has been crafted in the traditional Penfolds style. Ripe, balanced fruit flavours are supported by softly integrated oak resulting in a silky, smooth red wine.</p>",,1495,validated,1
WRW4679AD,WRW4679,Penfolds  Bin 2,Red Wine,Deep ruby (รูบี้เข้ม),,Australia,Barossa,,,,Penfolds,"Syrah, Mourvèdre",Full,Medium,Medium,,Beef|Lamb|Spicy Food,0.847,Penfolds Bin 2 Shiraz Mataro เป็นไวน์ที่แสดงออกถึงประวัติศาสตร์ของไวน์ออสเตรเลียและคุณภาพที่ยอดเยี่ยม สำหรับผู้ที่มองหาไวน์แดงที่มีความสมดุล ซับซ้อน และเหมาะสำหรับดื่มเดี่ยวหรือจับคู่กับอาหาร ไวน์นี้คือทางเลือกที่สมบูรณ์แบบ,,995,validated,1
WRW4680AD,WRW4680,Penfolds  Bin 28 Shiraz,Red Wine,Purple with a black core.,Syrah,Australia,Barossa Valley,,,,Penfolds,Syrah,Full,Medium,Medium,"[""fruit"",""spice"",""oak""]",Beef|Lamb|Barbecue|Pasta,0.847,"Bin 28 offers a showcase of warm climate Australian Shiraz – ripe, robust and generously flavoured. First made in 1959, Bin 28 was originally named after the famous Barossa Valley Kalimna vineyard purchased by Penfolds in 1945 and from which the wine was originally sourced. Today, Bin 28 is a multi-region, multi-vineyard blend, with the Barossa Valley always well represented.",,1685,validated,1
WRW4681AD,WRW4681,Penfolds  Bin 407,Red Wine,Dense dark red.,,Australia,,,,1990,Penfolds,Cabernet Sauvignon,Full,Medium,High,"[""fruit"",""spice"",""herbal"",""oak""]",Beef|Lamb|Cured Meat|Hard Cheese,0.778,"<p>Vibrant crimson red color. The aromas soar brazenly, immediately cabernet – tomato relish/chutney, cassis. Other fruits edge forward for shelf space, like yellow-fleshed plum (El Dorado?) and ripe persimmon. Intriguingly, other less assertive aromatics offer more complexity: sage soaked in butter/oil (pre-saltimbocca preparation); olive leaf/turmeric spices, and caper brine. Reticent oak (cedar) noted – manifested as a seasoned/maturation character. On the palate, the wine is medium-bodied and elegantly framed. No mid-palate deficiencies! Blackcurrant and plum fruits sit alongside mocha/chocolate/walnut flavors. Oak? A genteel (washed, older oak) character – affording a maturation, not a flavor imprint. Mouth-watering with fine, rounded/polished tannins. In sharp palate contrast – a finessed, varietally-driven alternative to the muscular and Grange-like Bin 707 Cabernet.</p>",,3895,validated,1
WRW4683AD,WRW4683,Penfolds  Bin 389 Cabernet Sauvignon/Shiraz,Red Wine,Deep ruby (รูบี้เข้ม),Cabernet Sauvignon,Australia,,,,,Penfolds,"Cabernet Sauvignon, Syrah",Full,Medium,High,,Beef|Cured Meat|Barbecue,0.787,สัมผัสเบลนด์พิเศษผสมผสานแคบอร์เนต์และชิราซจาก Penfolds Bin 389 พร้อมกล่องของขวัญจาก Nigo,,3285,validated,1
