ID,WEB,PRICE GROUP,Type,sku,is_in_stock,custom_stock_status,manufacturer,supplier_code,brand,name,bottle_size,vintage,cost,price,special_price,Margin THB,Margin %,SP discount %,B2B,B2B Margin THB,B2B Margin %,B2B Discount %,Content,WN Stock,Consign,Sold order Mar,Sold Qty Mar,promotion_price,promotion_tier_price,wine_type,country,region_wine,grape_class,grape_variety,wine_body,wine_acidity,wine_tanin,food_matching,liquor_main_type,other_type
1975,W,A 0-1000,WRS,WRS0082AC,0,,"EU Wine Co.,Ltd.",N/A,Delheim,Delheim Pinotage Rose (Screw Cap),750 ml,Current vintage,550,719,,121.96,18%,,,,,,,,,,,Yes,No,Rose Wine,South Africa,Stellenbosch,Pinotage,Pinotage / Muscat de Frontignan,Light,Medium,Low,Chicken|Fish|Vegetables,,
1976,W,B 1000-2000,WRW,WRW2034AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Ascheri,Ascheri  Fontanelle Barbera D'Alba DOC,750 ml,Current vintage,995.325,1420,,331.78,25%,,,,,,,,,,,No,No,Red Wine,Italy,Piedmont,Barbera,100% Barbera,Full,High,Low,Beef|Lamb|Cured Meat|Hard Cheese|Pasta,,
1977,W,B 1000-2000,WRW,WRW2035AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Ascheri,Ascheri  Nebbiolo D'Alba DOC,750 ml,2014 [**VINTAGE MAY CHANGE],1086.45,1550,,362.15,25%,,,,,,,,,,,No,No,Red Wine,Italy,Piedmont,Nebbiolo,Nebbiolo,Full,High,High,Beef|Lamb|Soft Cheese|Barbecue|Pasta,,
1978,W,A 0-1000,WRW,WRW2043AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Danese,Danese  Cabernet IGT,750 ml,Current vintage,470,680,,165.51,26%,,,,,,,,,,,No,No,Red Wine,Italy,Veneto,Cabernet Sauvignon,Cabernet,Full,Medium,Medium,Beef|Cured Meat|Barbecue,,
1979,W,A 0-1000,WRW,WRW2045AC,0,,"EU Wine Co.,Ltd.",N/A,Danese,Danese  Bardolino DOC,750 ml,Current vintage,400,599,,159.81,29%,,480,48.60,11%,20%,,,,,,Yes,No,Red Wine,Italy,Veneto,Corvina,"Corvina Veronese, Molinara.",Medium,High,High,Beef|Lamb|Hard Cheese|Barbecue,,
1980,W,A 0-1000,WRW,WRW2046AC,1,,"EU Wine Co.,Ltd.",N/A,Danese,Danese  Valpolicella DOC,750 ml,Current vintage,550,819,,215.42,28%,,660,66.82,11%,19%,,,,,,Yes,No,Red Wine,Italy,Veneto,Blended,N/A,Medium,Medium,Medium,Beef|Soft Cheese|Pasta,,
1981,W,B 1000-2000,WRW,WRW2056AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Baigorri,Baigorri  Maceracion Carbonica,750 ml,Current vintage,900,1149,,173.83,16%,,,,,,,,,,,Yes,No,Red Wine,Spain,Rioja,Tempranillo,Tempranillo,Full,High,High,Beef|Lamb|Cured Meat|Hard Cheese,,
1982,W,B 1000-2000,WRW,WRW2057AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Baigorri,Baigorri  Crianza,750 ml,Current vintage,1150,1499,,250.93,18%,,,,,,,,,,,Yes,No,Red Wine,Spain,Rioja,Tempranillo,Tempranillo,Full,High,High,Beef|Lamb|Cured Meat|Hard Cheese,,
1983,W,B 1000-2000,WRW,WRW2059AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Baigorri,Baigorri  Garnacha,750 ml,2010 [**VINTAGE MAY CHANGE],1500,1899,,274.77,15%,,,,,,,,,,,Yes,No,Red Wine,Spain,Rioja,Grenache,Grenache,Medium,Medium,Medium,Beef|Mushroom|Hard Cheese|Pasta,,
1984,W,C 2000-3000,WRW,WRW2060AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Baigorri,Baigorri  de Garage,750 ml,2009 [**VINTAGE MAY CHANGE],2300,2999,,502.80,18%,,,,,,,,,,,Yes,No,Red Wine,Spain,Rioja,Tempranillo,Tempranillo,Full,High,High,Beef|Lamb|Cured Meat|Hard Cheese,,
