sku,item_name,websites,base_image_url,item_url
WRW0032AA,Feudi San Marzano  F Negroamaro Del Salento,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/r/w/rw0032a_1.jpg,https://th.wine-now.com/feudi-san-marzano-f-negroamaro-del-salento.html
WRW0033AD,Craggy Range  Te Muna Pinot Noir Martinborough,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0033ad.jpg,https://th.wine-now.com/craggy-range-te-muna-pinot-noir-martinborough.html
WRW0034AD,Rawson's Retreat  Shiraz & Cabernet,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0034ab.jpg,https://th.wine-now.com/rawson-s-retreat-shiraz-cabernet.html
WRW0035AD,Rawson's Retreat  Cabernet Sauvignon,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0035ab.jpg,https://th.wine-now.com/rawson-s-retreat-cabernet-sauvignon.html
WRW0037AC,Francis Coppola  Director's Cut Cabernet Sauvignon,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0037ac_1.jpg,https://th.wine-now.com/francis-coppola-director-cut-cabernet-sauvignon.html
WRW0039AD,Chateau Villa Bel Air  Rouge,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0039ad.jpg,https://th.wine-now.com/chateau-villa-bel-air-rouge.html
WRW0040AG,Marquis de Chasse  Cabernet/Merlot,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0040G.jpg,https://th.wine-now.com/marquis-de-chasse-cabernet-merlot.html
WRW0044AB,Penfolds  Bin 2,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0044ab_1_1_1.jpg,https://th.wine-now.com/penfolds-bin-2-wrw0044ab.html
WRW0045AA,Tenuta Sant' Antonio  Amarone Della Valpolicella-disabled,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0045A.jpg,https://th.wine-now.com/tenuta-sant-antonio-amarone-della-valpolicella-disabled.html
WRW0047AA,Mastrojanni  Brunello di Montalcino Vigna Schiena D'Asino DOCG,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0047aa.jpg,https://th.wine-now.com/mastrojanni-brunello-di-montalcino-vigna-schiena-d-asino-docg.html
WRW0048AB,Seghesio  Sonoma Old Vin Zinfandel,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0048ab.jpg,https://th.wine-now.com/seghesio-zinfandel-old-vine.html
WRW0050AB,Penfolds  Bin128,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0050B.jpg,https://th.wine-now.com/penfolds-bin128.html
WRW0052AB,Penfolds  Bin 407,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0052B.jpg,https://th.wine-now.com/penfolds-bin-407-wrw0052ab.html
WRW0053AG,Paso De Tango  Shiraz/Malbec,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0053G.jpg,https://th.wine-now.com/paso-de-tango-shiraz-malbec.html
WRW0054AG,Jean D'Aosque  Merlot,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0054G.jpg,https://th.wine-now.com/jean-d-aosque-merlot.html
WRW0055AG,Paso Del Sol  Merlot,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0055G.jpg,https://th.wine-now.com/paso-del-sol-merlot.html
