# generated: 2026-08-28  source: supabase:dsyplzckfezcxiuikkfm  rows: 800
# format: sku|slug|image  (slug is relative to https://th.wine-now.com/ ; image is a
#         media/catalog/product filename, sharded by its first two chars, unless
#         prefixed with * in which case it is a literal path)
LTQ0134AD|kah-tequila-anejo-750-ml.html|ltq0046ce_1_1.jpg
LTQ0136AA|se-busca-mezcal-reposado-700-ml.html|ltq0136aa.jpg
LTQ0148CN|espolon-blanco-750-ml.html|ltq0148cn.jpg
LTQ0171CN|creyente-mezcal-joven-750-ml.html|ltq0171cn.jpg
LTQ0172CN|400-conejos-mezcal-joven-750-ml.html|ltq0172cn.jpg
LTQ0176CN|clase-azul-tequila-reposado-750-ml.html|*2/_/2.jpg
LTQ0202AD|pancho-villa-silver-tequila-750-ml.html|ltq0202ad_1.jpg
LTQ0203BU|don-julio-1942-750-ml.html|ltq0203bu_2.jpg
LTQ0206GH|818-tequila-blanco-750-ml.html|ltq0206gh.jpg
LTQ0209GH|818-tequila-eight-reserve-750-ml.html|ltq0209gh.jpg
LTQ0241ER|dos-companeros-silver-tequila-700-ml.html|ltq0241er.jpg
LTQ0250CN|1800-milenio-tequila.html|ltq0250cn.jpg
LTQ0272BU|olmeca-altos-blanco-700-ml.html|ltq0272bu_olmeca_altos_blanco_700_ml_.jpg
LVK0003AD|mccormick-vodka-750ml.html|lvk0003aa.jpg
LVK0048BU|smirnoff-vodka-700-ml.html|lvk0048bu.jpg
LVK0071BU|ketel-one-vodka-750-ml.html|lvk0071bu_1.jpg
LVK0108AA|stolichnaya-salted-karamel-700-ml.html|lvk0108aan.jpg
LVK0124DR|grey-goose-vodka-750-ml.html|lvk0036t_1_1.jpg
LVK0145BU|finlandia-vodka-cranberry-750-ml.html|lvk0145bu_1.jpg
LVK0153BU|absolut-vodka-1-l.html|lvk0153bu.jpg
LVK0172CN|tito-s-vodka-750-ml.html|lvk0091ae_1_1.jpg
LVK0179AE|russian-standard-vodka-700-ml.html|lvk0179ae_11.jpg
LVK0181AE|russian-standard-platinum-vodka-700-ml.html|lvk0181ae_1.jpg
LVK0185DG|lanna-thai-spirits-vodka-700-ml.html|lvk0185dgn.jpg
LVK0194AA|suntory-haku-vodka-700-ml.html|lvk0194ad.jpg
LVK0206AH|svedka-clementine-vodka-750-ml.html|lvk0206ah.jpg
LVK0639AB|lycan-ak-47-vodka-750-ml.html|lvk0639ab_11.jpg
